Direct operations (ISIC Section),Direct operations (ISIC Division),Direct operations (ISIC Group/Class),ISIC level used for direct operations,Upstream tier 1 (ISIC Division/Group/Class),ISIC level used for upstream tier 1 link,Upstream tier 2 (ISIC Division/Group/Class),ISIC level used for upstream tier 2 link
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,Activities auxiliary to financial service and insurance activities,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,Growing of perennial crops,ISIC Group
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,"Growing of vegetables and melons, roots and tubers",ISIC Class
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,Manufacture of chemicals and chemical products,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,Post-harvest crop activities,ISIC Class
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,Repair of computers and personal and household goods,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,"Retail trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,Seed processing for propagation,ISIC Class
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Growing of perennial crops,ISIC Group,Activities auxiliary to financial service and insurance activities,ISIC Division
