Mega Category (Taxonomy),Level 1 (Taxonomy),Level 2 (Taxonomy),Level 3 (Taxonomy),Supplier Name,Spend
Business services,Travel & entertainment,Airfares,International airfares,supplier_87,452.68
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_88,15.48
Business services,Travel & entertainment,Airfares,Domestic airfares,supplier_88,78.42
Business services,Travel & entertainment,Airfares,International airfares,supplier_88,44.44
Business services,Travel & entertainment,Ground transport,Car hire,supplier_88,477.92
Business services,Travel & entertainment,Ground transport,Car hire,supplier_88,26.29
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_88,1098
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_88,6.35
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_88,10.28
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_88,3318
Business services,Travel & entertainment,Airfares,International airfares,supplier_102,218.18
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_103,53.91
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_103,96.57
Business services,Travel & entertainment,Airfares,International airfares,supplier_103,261.82
Business services,Travel & entertainment,Airfares,International airfares,supplier_103,375
Business services,Travel & entertainment,Ground transport,Other ground transportation,supplier_103,303.82
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_103,201.62
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_103,80.72
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_103,18.36
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_103,79.28
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_104,576.9
Business services,Travel & entertainment,Airfares,International airfares,supplier_104,144
Business services,Travel & entertainment,Airfares,International airfares,supplier_104,834
Business services,Travel & entertainment,Airfares,International airfares,supplier_104,15.86
Business services,Travel & entertainment,Ground transport,Car hire,supplier_104,192.62
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_104,227.27
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_104,1354.1
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_104,452.53
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_104,2923.08
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_104,84.19
Business services,Travel & entertainment,Travel expenses,Meals & incidentals,supplier_104,301.05
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_105,26.939999999999998
Business services,Travel & entertainment,Accommodation,Domestic accommodation,supplier_105,0
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_105,150
Business services,Travel & entertainment,Accommodation,International accommodation,supplier_105,32.08
